a52dec 0.7.4-11
acl 2.2.53-3
acpi 1.7-3
acpid 2.0.32-1
adobe-source-code-pro-fonts 2.030ro+1.050it-6
adobe-source-han-sans-jp-fonts 2.001-1
adobe-source-han-sans-kr-fonts 2.001-1
adobe-source-sans-pro-fonts 3.006-2
adwaita-icon-theme 3.36.1-1
alacritty 0.4.3-1
alsa-lib 1.2.3-1
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.3-1
alsa-ucm-conf 1.2.3-2
alsa-utils 1.2.3-1
anki 2.1.26-1
anthy 9100h-6
aom 2.0.0-1
apm 2.5.0-2
arandr 0.1.10-4
arc-gtk-theme 20200513-1
archey3 0.5-10
archlinux-keyring 20200603-1
argon2 20190702-3
aribb24 1.0.3-3
aspell 0.60.8-2
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
atkmm 2.28.0-2
atom 1.48.0-1
attr 2.4.48-3
audiofile 0.3.6-6
audit 2.8.5-6
autoconf 2.69-7
autoconf-archive 1:2019.01.06-1
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-1
awesome-terminal-fonts 1.1.0-2
base 2-2
bash 5.0.017-1
bc 1.07.1-4
bdf-tewi-git 0.313.a975d38-1
bdf-unifont 12.1.04-1
betterlockscreen 3.0.1-4
binutils 2.34-5
bison 3.6.3-1
bluez 5.54-2
bluez-libs 5.54-2
bluez-utils 5.54-2
boost 1.72.0-2
boost-libs 1.72.0-2
brotli 1.0.7-3
btrfs-progs 5.6.1-3
bubblewrap 0.4.1-1
bzip2 1.0.8-3
c-ares 1.16.1-1
ca-certificates 20181109-3
ca-certificates-mozilla 3.53-1
ca-certificates-utils 20181109-3
cairo 1.17.2+25+gaee96d175-1
cairomm 1.12.2-4
cantarell-fonts 1:0.201-1
canto-curses 0.9.9-2
canto-daemon 0.9.7-2
cblas 3.9.0-3
ccrypt 1.11-1
cdparanoia 10.2-8
cfv 1.18.3-7
cherry-font-git 1.0-2
cifs-utils 6.10-1
clang 10.0.0-3
cmake 3.17.3-1
cmus 2.8.0-3
code 1.46.0-1
colord 1.4.4+9+g1ce26da-2
colordiff 1.0.18-2
compiler-rt 10.0.0-1
consolas-font 1.1-1
coreutils 8.32-1
cozette-otb 1.8.0-1
cracklib 2.9.7-2
crda 4.14-3
cryptsetup 2.3.3-1
curl 7.70.0-1
dav1d 0.7.0-1
db 5.3.28-5
dbus 1.12.18-1
dbus-glib 0.110-2
dconf 0.36.0-1
desktop-file-utils 0.24-2
device-mapper 2.02.187-3
dhclient 4.4.2-2
dhcpcd 9.1.2-1
dialog 1:1.3_20200327-1
diffutils 3.7-3
dina-font 2.92-7
discord 0.0.10-3
dmenu 4.9-1
dmraid 1.0.0.rc16.3-12
dnssec-anchors 20190629-2
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.1-3
double-conversion 3.1.5-2
dunst 1.4.1-1
e2fsprogs 1.45.6-2
easystroke 0.6.0-22
efibootmgr 17-1
efivar 37-4
electron4 4.2.12-6
electron5 5.0.13-5
electron7 7.1.14-5
elfutils 0.179-1
emacs 26.3-2
enchant 2.2.8-3
envypn-powerline-git r13.9059e0a-2
exa 0.9.0-1
exfat-utils 1.3.0-1
exiv2 0.27.2-2
exo 0.12.11-2
expac 10-2
expat 2.2.9-3
faad2 2.9.2-1
fakeroot 1.24-2
fbida 2.14-2
feh 3.4.1-1
ffmpeg 2:4.2.3-1
fftw 3.3.8-3
file 5.39-1
filesystem 2020.05.20-1
findutils 4.7.0-2
firefox 77.0.1-1
fish 3.1.2-2
flac 1.3.3-2
flex 2.6.4-3
fluidsynth 2.1.3-1
font-manager 0.7.7-1
fontconfig 2:2.13.91+24+g75eadca-2
fontforge 20200314-2
fonttosfnt 1.1.0-1
freetype2 2.10.2-1
fribidi 1.0.9-1
fuse-common 3.9.1-1
fuse2 2.9.9-4
fzf 0.21.1-2
gawk 5.1.0-1
gc 8.0.4-4
gcc 10.1.0-2
gcc-libs 10.1.0-2
gconf 3.2.6+11+g07808097-6
gcr 3.36-1
gd 2.3.0-1
gdb 9.2-1
